ensid	gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B	ranks
ENSG00000077238	IL4R	-0.028884793653889	5.80657184881662	-0.430323143959614	0.667149541048297	0.745195458236853	-7.23853723869213	-0.17577680840297
ENSG00000077254	USP33	0.0730173288062976	5.09450451560911	1.15117892164409	0.250219301471295	0.345513028785416	-6.64722186209262	0.601679192647549
ENSG00000077264	PAK3	0.725061157528842	0.786935840798306	3.23815409303503	0.00128453202633071	0.00390891419505609	-1.84513348012395	2.89125506330475
ENSG00000077274	CAPN6	1.55691057427665	1.09045452947604	8.37469770015643	5.84518813768134e-16	1.72052844000082e-14	25.5286904563624	15.2332015057439
ENSG00000077312	SNRPA	0.0257852729842667	5.16270343716738	0.39834584759192	0.690548547083013	0.764848074300806	-7.23480088877645	0.16080578415395
ENSG00000077327	SPAG6	-0.301378828347072	-1.00730676012493	-2.63641163635993	0.00864432971993113	0.0205861137280945	-3.75989069804555	-2.06326867621549
ENSG00000077348	EXOSC5	-0.177913400626969	2.90877396157608	-1.83174295735003	0.0675957859896958	0.117603542226733	-5.46884156507133	-1.17008037770432
ENSG00000077380	DYNC1I2	0.0511908848504281	6.75355138468239	1.0991689636106	0.272233406335595	0.369670715124821	-6.72588826135355	0.565058582670495
ENSG00000077420	APBB1IP	-0.145555750425935	2.47025352202186	-1.08055598912278	0.280425499450504	0.378109383476271	-6.48755527921519	-0.552182497955267
ENSG00000077454	LRCH4	0.250416040681039	5.10331731696896	2.85896498669787	0.00443116560909435	0.011500186495622	-3.25904980385014	2.35348201846945
ENSG00000077458	FAM76B	0.0273357851455511	4.41168328293685	0.363225298877902	0.716593023073392	0.786049210385188	-7.19308954598007	0.144727424547632
ENSG00000077463	SIRT6	0.0870016215899485	3.16343054473234	1.05326878448846	0.292736226184769	0.390519397258931	-6.59323069917643	0.533523530184472
ENSG00000077514	POLD3	0.305207093463556	4.35741420315871	4.07024015281734	5.47311439524291e-05	0.000237869154934888	0.864476862001725	4.26176547444044
ENSG00000077522	ACTN2	-0.261681915574584	-0.59004245959622	-1.94151710874123	0.052767701091933	0.0954608709787837	-5.27757913176752	-1.27763182613434
ENSG00000077549	CAPZB	-0.0335435515936955	6.86684225265866	-0.551645496774066	0.581442400749543	0.67038860288191	-7.1746633135494	-0.235493301185959
ENSG00000077585	GPR137B	0.398083519639722	3.70131104856599	4.35270486255667	1.63732304194046e-05	8.09139656769933e-05	2.05447588081523	4.78586562633564
ENSG00000077616	NAALAD2	-0.144286059281677	-0.691925579888969	-1.65583845540829	0.0983939072635367	0.160901118608791	-5.78856267549683	-1.00703179307016
ENSG00000077684	JADE1	0.267476155973322	3.86175949949653	3.12533278070671	0.00188127231289724	0.00545790698211349	-2.39562468256672	2.72554833606637
ENSG00000077713	SLC25A43	-0.100871727919267	3.02767171652654	-1.3620358969714	0.173811523893068	0.257158397305464	-6.2152345182082	-0.759921432736287
ENSG00000077721	UBE2A	-0.0988670862206489	5.3480737070799	-1.4222911567831	0.155577134397007	0.234928394936832	-6.31545295292376	-0.808054232120873
ENSG00000077782	FGFR1	-0.330097250496752	3.57455613146193	-2.32129171615085	0.0206798976305512	0.0434491284293383	-4.52639625536985	-1.68445161541353
ENSG00000077800	FKBP6	0.016842063444728	1.27465261761052	0.128733029347489	0.897621648895864	0.927774314104252	-6.97219222474633	0.0469066816197394
ENSG00000077935	SMC1B	-0.489553161056139	-0.576758056547447	-4.50936543245048	8.14262540397848e-06	4.32112790924231e-05	2.77723674263888	-5.08923554417402
ENSG00000077942	FBLN1	-0.47150287900249	4.30235074381621	-2.05813589276799	0.0401046817981776	0.075771328633534	-5.18693492393585	-1.39680492512477
ENSG00000077943	ITGA8	0.0817559852609885	-0.255834315415322	0.899587827012551	0.36878091696866	0.470394036003133	-6.68841659442891	0.433231560149951
ENSG00000077984	CST7	-0.621637702291511	0.0502082052551814	-5.16131718545315	3.5680754448354e-07	2.58071972761746e-06	5.86195031841584	-6.44756597130004
ENSG00000078018	MAP2	0.252817164191294	2.35378707936427	1.77377923429499	0.0767198288471904	0.130547262699564	-5.48844871804726	1.11509237469563
ENSG00000078043	PIAS2	-0.266702089315674	3.28925697642202	-2.75282210460435	0.00612737821876486	0.0152586381583362	-3.42427062150215	-2.21272531156409
ENSG00000078053	AMPH	0.0166917154110119	-0.12577458121555	0.137568787645443	0.890637659029958	0.922920035879473	-7.05544315583891	0.0502989454465133
ENSG00000078061	ARAF	0.074243341635563	5.15486091406382	1.44992596264668	0.147718058133916	0.225132213579577	-6.27033855527104	0.830566410114398
ENSG00000078070	MCCC1	0.0970328952037125	5.69197663935117	1.64751417600514	0.100092616882925	0.163249935792742	-5.97929069958902	0.999597956139667
ENSG00000078081	LAMP3	-0.549182383121978	1.83872509439465	-3.56239364284006	0.000403358492156234	0.0014036399292061	-0.800427339866431	-3.39430879515397
ENSG00000078098	FAP	-0.593947983698624	4.13970044312826	-4.03188924328767	6.41371783430928e-05	0.000273495677686137	0.726669060626731	-4.19289015037858
ENSG00000078114	NEBL	0.308836249365449	4.98256731172898	2.23636887878934	0.025776277802745	0.0522807517911525	-4.81800724339954	1.5887797963092
ENSG00000078124	ACER3	-0.06125701731274	3.93300806073153	-0.627804727776342	0.530423941512754	0.624651505698212	-7.02904829868343	-0.275376881601367
ENSG00000078140	UBE2K	-0.316702861746482	3.77488970963051	-3.35158183549155	0.000865535941765706	0.00276103746732438	-1.68684478398905	-3.06271489314223
ENSG00000078142	PIK3C3	-0.0402070277622786	4.41218162012787	-0.45862496945037	0.646706579283691	0.727568110138871	-7.16052440077359	-0.189292720725889
ENSG00000078177	N4BP2	-0.102744770671886	2.75828003119555	-1.4270437592793	0.154203331182185	0.233152522340935	-6.09250669573878	-0.811906244323877
ENSG00000078237	TIGAR	-0.3417316318169	0.987256054362462	-4.21038762038265	3.03312957029925e-05	0.0001407543036559	1.6699572026995	-4.51810903694814
ENSG00000078246	TULP3	-0.305736737364847	3.72382282682351	-4.96748478615632	9.38156729493574e-07	6.22289331970863e-06	4.78607705942999	-6.02772460184669
